Pesos;Alturas
54.23;2.0
69.5;1.63
59.1;1.97
57.26;1.53
81.45;1.89
85.71;1.75
89.75;1.59
50.46;1.51
65.42;1.73
88.22;2.0
83.39;1.88
63.56;1.6
61.49;1.94
61.6;1.78
57.32;1.63
84.13;1.63
72.83;1.79
83.76;1.68
60.85;1.6
72.47;1.63
51.45;1.77
58.68;1.78
61.15;1.95
83.62;1.65
57.3;1.56
65.56;1.56
66.2;1.85
81.05;1.74
81.12;1.89
78.21;1.89
80.12;1.74
56.76;1.61
89.47;1.91
66.72;1.63
52.12;1.93
84.7;1.6
56.95;1.74
73.88;1.72
67.99;1.85
58.24;1.64
73.16;1.83
69.59;1.98
85.6;1.52
74.21;1.53
75.17;1.51
52.85;1.58
67.51;1.92
82.15;1.54
74.73;1.96
89.32;1.91
76.43;1.53
78.48;1.88
59.41;1.68
85.79;1.82
89.57;1.72
50.4;1.61
50.32;1.68
53.79;1.71
56.54;1.72
69.08;1.62
81.25;1.94
61.11;1.61
81.79;1.72
74.31;1.71
82.85;1.67
89.07;2.0
86.38;1.75
74.92;1.82
85.8;1.65
73.49;1.9
75.12;1.96
64.0;1.5
57.59;1.72
68.86;1.99
80.59;1.92
51.26;1.83
86.9;1.9
54.75;1.75
59.49;1.88
85.91;1.57
89.38;1.66
85.95;1.79
88.94;1.54
55.13;1.9
79.12;1.8
79.41;1.89
66.86;1.59
70.54;1.94
87.33;1.62
51.07;1.87
55.97;1.84
64.03;1.73
65.9;1.56
81.39;1.9
71.14;1.81
78.92;1.93
85.51;1.76
55.54;1.68
83.22;1.52
75.61;1.54
73.32;1.64
51.43;1.54
64.49;1.68
63.09;1.65
71.3;1.64
83.06;1.94
55.25;1.88
87.42;1.72
61.7;1.51
66.43;1.7
75.16;1.7
69.5;1.66
62.47;1.58
84.25;1.78
74.04;1.97
85.05;1.65
65.6;1.94
74.53;1.51
61.88;1.65
62.65;1.78
66.22;1.94
77.26;1.75
72.23;1.57
79.39;1.73
79.26;1.55
80.23;1.94
72.77;1.99
63.72;1.7
80.37;1.84
66.12;1.81
81.79;1.85
77.51;1.96
50.44;1.69
51.96;1.6
53.22;1.55
68.97;1.91
63.23;1.93
72.63;1.89
55.57;1.8
52.34;1.52
63.06;1.91
60.47;1.93
85.22;1.96
77.74;1.64
59.5;1.66
88.46;1.53
61.65;1.51
50.85;1.92
67.2;1.92
57.8;1.94
79.29;1.8
55.97;1.74
54.48;1.81
78.05;1.99
64.68;1.82
81.19;1.92
60.03;1.95
62.68;1.78
61.24;1.87
84.92;1.51
70.39;1.6
81.12;1.96
80.82;1.57
70.75;1.99
75.48;1.98
59.85;1.67
62.35;1.82
74.84;1.86
83.98;1.59
86.1;1.62
86.59;1.59
87.08;1.56
50.52;1.91
80.45;1.6
81.15;1.52
75.26;1.66
83.03;1.7
82.28;1.75
54.41;1.94
86.23;1.56
67.41;1.85
57.6;1.9
84.2;1.77
78.22;2.0
88.87;1.97
62.45;1.52
56.07;1.99
57.5;1.6
78.96;1.61
57.17;1.84
82.3;1.64
67.17;1.8
51.44;1.51
61.01;1.81
66.31;1.55
58.46;1.69
61.51;1.63
59.42;1.63
56.36;1.92
62.37;1.53
73.15;1.87
86.07;1.86
82.19;1.96
56.49;1.81
74.64;1.87
63.91;2.0
58.31;1.99
87.82;1.59
52.75;1.53
